Model,Test Loss,Test Accuracy,ROC AUC Score
ResNet50,0.28411707282066345,0.890672504901886,0.956576975450035
EfficientNetB0,0.3094519078731537,0.8624535202980042,0.9367192581014626
Ensemble,,,0.9640303292948227
